OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore_is_missing,flag_anomalie,type_anomalie,critere_detection,action,justification,IsZeroFloorReported,IsAggregatedCampus,_ratio_usage,_energy_gap_pct
654,2016,NonResidential,Retail Store,AIRPORT WAY SOUTH,4101 - 4111 AIRPORT WAY S,Seattle,WA,98108.0,7886100495,2,GREATER DUWAMISH,47.56664,-122.32346,1973,1.0,1.0,56572,0,56572,Retail Store,Retail Store,56576.0,,,,,,66.0,42.59999847,44.90000153,93.30000305,95.69999695,2409429.0,2540840.5,0.0,385429.3125,1315085.0,10943.44043,1094344.0,False,,Compliant,,67.29,1.19,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0000707063565015,0.0
656,2016,NonResidential,Medical Office,Arnold Pavilion,1221 Madison Street,Seattle,WA,98104.0,8725990000,3,EAST,47.60979,-122.32298,2004,1.0,,225982,0,225982,Medical Office,Medical Office,200184.0,,,,,,53.0,102.6999969,103.6999969,246.8999939,245.3000031,20560622.0,20764814.0,7815663.0,3735333.25,12744957.0,0.0,0.0,False,,Compliant,,692.12,3.06,False,False,Nombre d'étages incohérent,NumberofFloors=0 & BuildingType!=Campus,⚠️ Feature Engineering : NaN + Flag,"Structure massive nécessitant plusieurs niveaux (ex: Grand Hyatt, Pacific Place)",True,False,0.8858404651697923,0.0
657,2016,NonResidential,Mixed Use Property,2200 Westlake - SEDO,2200 Westlake Ave.,Seattle,WA,98121.0,8729740000,7,DOWNTOWN,47.61783,-122.33729,2006,0.0,,516407,0,516407,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,Multifamily Housing,340236.0,Hotel,67627.0,,31.0,76.30000305,78.90000153,199.1999969,202.0,39403320.0,40754364.0,0.0,8626261.0,29432803.0,99705.11719,9970512.0,False,,Compliant,,734.72,1.42,False,False,Nombre d'étages incohérent,NumberofFloors=0 & BuildingType!=Campus,⚠️ Feature Engineering : NaN + Flag,"Structure massive nécessitant plusieurs niveaux (ex: Grand Hyatt, Pacific Place)",True,False,0.7459155278685223,0.0
671,2016,NonResidential,Medical Office,Jefferson Tower,1600 E Jefferson St,Seattle,WA,98122.0,7942600570,3,CENTRAL,47.60649,-122.31121,1987,1.0,7.0,94500,0,94500,Medical Office,Medical Office,113739.0,,,,,,68.0,50.90000153,50.5,159.8999939,158.5,5792926.0,5739540.0,0.0,1697809.25,5792925.0,0.0,0.0,False,,Compliant,,40.38,0.43,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.2035873015873015,0.0
673,2016,NonResidential,Retail Store,#8944 West Seattle,7345 Delridge Way SW,Seattle,WA,98106.0,7985400295,1,DELRIDGE,47.53655,-122.36377,2005,0.0,1.0,94713,0,94713,Retail Store,Retail Store,109758.0,,,,,,79.0,49.40000153,53.0,131.5,135.3000031,5417598.0,5820712.5,0.0,1225938.125,4182901.0,12346.9668,1234697.0,False,,Compliant,,94.74,1.0,False,False,Ratio Usage/Total intermédiaire (multi-usages),1.05 < Ratio ≤ 1.30 + NumberofBuildings > 1,✅ Conservation sélective,Dépassement structurel accepté pour bâtiments complexes,False,False,1.1588483101580564,0.0
683,2016,NonResidential,Other,Rainier Square Plaza,3820 Rainier Ave S,Seattle,WA,98118.0,9834201515,2,SOUTHEAST,47.56961,-122.28881,1994,3.0,1.0,102133,0,102133,"Parking, Strip Mall",Strip Mall,107427.0,Parking,0.0,,,,,192.8999939,199.3000031,443.0,447.6000061,20725996.0,21406232.0,0.0,3621616.75,12356956.0,83690.375,8369038.0,False,,Compliant,,530.62,5.2,True,False,Ratio Usage/Total intermédiaire (multi-usages),1.05 < Ratio ≤ 1.30 + NumberofBuildings > 1,✅ Conservation sélective,Dépassement structurel accepté pour bâtiments complexes,False,False,1.0518343728275876,0.0
689,2016,NonResidential,Other,Marketplace at Queen Anne,600 1st Ave N,Seattle,WA,98109.0,5161000000,7,MAGNOLIA / QUEEN ANNE,47.62476,-122.35521,1994,3.0,2.0,81336,0,81336,Lifestyle Center,Lifestyle Center,81385.0,,,,,,,160.8000031,164.1999969,405.2999878,406.2000122,13085297.0,13360349.0,0.0,2698352.0,9206777.0,38785.1875,3878519.0,False,,Compliant,,270.17,3.32,True,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0006024392642865,0.0
700,2016,NonResidential,Supermarket / Grocery Store,IUC- Whole Foods Interbay,2001 15th Avenue West,Seattle,WA,98119.0,7666201460,7,MAGNOLIA / QUEEN ANNE,47.63718,-122.37734,2008,1.0,1.0,57176,0,57176,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,39500.0,Retail Store,15000.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500.0,,31.0,208.8000031,214.1000061,0.0,0.0,12525174.0,12843856.0,0.0,0.0,0.0,0.0,0.0,False,,Compliant,,0.0,0.0,False,True,Incohérence énergétique,Écart sources/total > 10%,❌ Suppression,CO₂ mathématiquement corrompu (déconnexion sources/total),False,False,0.690849307401707,100.0
704,2016,NonResidential,Large Office,401 Elliott Ave West,401 Elliot Ave West,Seattle,WA,98119.0,7666202110,7,MAGNOLIA / QUEEN ANNE,47.62235,-122.36378,2000,1.0,4.0,129551,42500,87051,"Data Center, Office, Parking",Office,82273.0,Parking,42500.0,Data Center,4778.0,,1.0,311.7000122,311.7000122,978.9000244,978.9000244,27137190.0,27137190.0,0.0,7953454.5,27137187.0,0.0,0.0,False,,Non-Compliant,High outlier,189.18,1.46,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.6350626394238562,0.0
722,2016,NonResidential,Warehouse,(ID722)INDUSTRIAL TRANSFER WAREHOUSE,2440 6TH AVE S,Seattle,WA,98121.0,7666203530,2,GREATER DUWAMISH,47.58042,-122.32552,1951,1.0,3.0,98220,0,98220,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,129420.0,,,,,,12.0,50.0,50.70000076,146.3999939,147.1000061,6468090.0,6562048.5,0.0,1703866.125,5813591.0,6544.97998,654498.0,False,,Compliant,,75.29,0.77,False,True,Ratio Usage/Total critique (> 1.30),LargestPropertyUseTypeGFA/PropertyGFATotal > 1.30,❌ Suppression,Erreur physique manifeste,False,False,1.3176542455711668,0.0
730,2016,NonResidential,Other,(ID#730)Campus 4:KC Metro Transit Ryerson Base,1200 4TH AVE S,Seattle,WA,98134.0,7666204685,2,GREATER DUWAMISH,47.5908,-122.32828,1986,3.0,2.0,63644,0,63644,"Other - Public Services, Parking",Other - Public Services,65700.0,Parking,0.0,,,,,104.4000015,113.4000015,244.6000061,254.0,6858533.5,7448018.0,0.0,1243467.5,4242711.0,26158.2207,2615822.0,False,,Compliant,,168.5,2.65,True,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0323046948651875,0.0
732,2016,NonResidential,Supermarket / Grocery Store,70100122-Greenwood,100 NW 85th Street,Seattle,WA,98117.0,9231900160,6,NORTHWEST,47.69197,-122.35877,1970,1.0,1.0,141890,35545,106345,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,168735.0,Parking,0.0,Parking,0.0,,91.0,100.0,103.0,266.6000061,269.7999878,16865978.0,17384564.0,0.0,3825269.5,13051820.0,38141.5625,3814156.0,False,,Compliant,,293.56,2.07,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.189195855944746,0.0
748,2016,NonResidential,Small- and Mid-Sized Office,Pier 70,2801 Alaskan Way,Seattle,WA,98121.0,7666202292,7,DOWNTOWN,47.61472,-122.35566,1902,1.0,3.0,76893,0,76893,"Office, Parking, Retail Store",Office,90345.0,Parking,33380.0,Retail Store,15845.0,,,113.3000031,115.6999969,280.5,285.8999939,12029600.0,12289373.0,0.0,2405996.5,8209260.0,38203.39063,3820339.0,False,,Compliant,,260.13,3.38,True,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.1749444032616754,0.0
757,2016,NonResidential,Large Office,Market Place I & II-2003 Western Avenue,2003 Western Avenue,Seattle,WA,98121.0,1977200280,7,DOWNTOWN,47.61051,-122.34439,1979,1.0,7.0,131143,87160,43983,"Office, Retail Store",Office,120248.0,Retail Store,10853.0,,,,93.0,39.5,,128.0,0.0,5177270.5,,0.0,1427645.25,4871126.0,14160.40918,1416041.0,False,,Compliant,,109.16,0.83,False,True,Incohérence énergétique,Écart sources/total > 10%,❌ Suppression,CO₂ mathématiquement corrompu (déconnexion sources/total),False,False,0.9169227484501651,21.44
758,2016,NonResidential,Other,Pacific Place,600 Pine Street,Seattle,WA,98101.0,6600470000,7,DOWNTOWN,47.61289,-122.33531,1999,1.0,,947987,0,947987,"Office, Other - Entertainment/Public Assembly, Other - Mall, Restaurant",Other - Mall,561684.0,Other - Entertainment/Public Assembly,100000.0,Restaurant,80000.0,,,62.29999924,62.09999847,195.6000061,194.8999939,46510960.0,46343304.0,0.0,13631581.0,46510954.0,0.0,0.0,False,,Compliant,,324.25,0.34,True,False,Nombre d'étages incohérent,NumberofFloors=0 & BuildingType!=Campus,⚠️ Feature Engineering : NaN + Flag,"Structure massive nécessitant plusieurs niveaux (ex: Grand Hyatt, Pacific Place)",True,False,0.5925017959107034,0.0
760,2016,NonResidential,Large Office,Broadacres Building,1601 Second Avenue,Seattle,WA,98101.0,1977200040,7,DOWNTOWN,47.61036,-122.34037,1908,1.0,10.0,132998,0,132998,"Office, Retail Store",Office,138257.0,Retail Store,0.0,,,,97.0,27.29999924,29.20000076,64.30000305,66.59999847,3775187.5,4040138.75,1530680.625,657827.3125,2244507.0,0.0,0.0,False,,Compliant,,133.8,1.01,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.039541947999218,0.0
773,2016,NonResidential,Small- and Mid-Sized Office,SEATTLE BUILDING,215 COLUMBIA ST,Seattle,WA,98104.0,0939000245,7,DOWNTOWN,47.6038,-122.33293,1924,,4.0,63150,0,63150,,,,,,,,,,,,,,,,,,,,,False,,Non-Compliant,,,,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,,
782,2016,NonResidential,Other,DOT 17G_01 1051 BUILDING,1051 1ST AVE SO,Seattle,WA,98104.0,7666206955,2,GREATER DUWAMISH,47.59273,-122.33455,1939,1.0,2.0,58492,0,58492,Other,Other,58500.0,,,,,,,27.29999924,31.60000038,54.29999924,58.79999924,1594422.5,1849863.625,0.0,210377.0,717806.0,8766.160156,876616.0,False,,Compliant,,51.56,0.88,True,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0001367708404567,0.0
784,2016,NonResidential,Warehouse,SEWA,1919 Sixth Ave South,Seattle,WA,98134.0,7666204495,2,GREATER DUWAMISH,47.58454,-122.3269,1960,1.0,1.0,73296,0,73296,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,77800.0,Parking,0.0,,,2014,83.0,30.29999924,34.79999924,61.79999924,66.69999695,2356376.75,2709055.0,0.0,327543.0,1117577.0,12388.00098,1238800.0,False,,Compliant,,73.58,1.0,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0614494651822746,0.0
791,2016,NonResidential,Other,United Parcel Service,4455 7th Avenue South,Seattle,WA,98108.0,7376600390,2,GREATER DUWAMISH,47.56301,-122.32564,1970,1.0,1.0,141686,0,141686,Other,Other,152511.0,,,,,,,43.79999924,44.79999924,137.3999939,140.8000031,6673138.0,6837936.0,0.0,1955784.625,6673137.0,0.0,0.0,False,,Compliant,,46.52,0.33,True,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0764013381703204,0.0
792,2016,NonResidential,Small- and Mid-Sized Office,McKinstry SEA - 5005 3rd Ave S Office,5005 3rd Avenue S.,Seattle,WA,98134.0,3573700320,2,GREATER DUWAMISH,47.55695,-122.33176,1950,1.0,1.0,93610,0,93610,"Data Center, Office",Office,101278.0,Data Center,502.0,,,2016,95.0,61.29999924,65.0,144.0,146.1999969,6235947.0,6612733.0,0.0,1136505.75,3877758.0,23581.89063,2358189.0,False,,Compliant,,152.28,1.63,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0819143253925863,0.0
796,2016,NonResidential,Large Office,6100 Building,6100 4th Ave S,Seattle,WA,98108.0,5367200610,2,GREATER DUWAMISH,47.54699,-122.32882,1975,1.0,5.0,238148,0,238148,"Office, Parking",Office,245240.0,Parking,5616.0,Parking,5616.0,,93.0,43.90000153,43.90000153,138.0,138.0,10775646.0,10775646.0,0.0,3158161.0,10775645.0,0.0,0.0,False,,Compliant,,75.12,0.32,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0297798007961436,0.0
799,2016,NonResidential,Distribution Center,Cloverdale Business Park Building D,309 South Cloverdale Street,Seattle,WA,98108.0,3224049012,1,GREATER DUWAMISH,47.52549,-122.33064,1979,1.0,1.0,54880,0,54880,Distribution Center,Distribution Center,55000.0,,,,,,32.0,50.20000076,54.79999924,99.90000153,104.6999969,2763597.0,3013861.5,0.0,363654.1875,1240788.0,15228.08984,1522809.0,False,,Compliant,,89.53,1.63,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0021865889212829,0.0
803,2016,NonResidential,Small- and Mid-Sized Office,200 SW Michigan,200 SW Michigan,Seattle,WA,98106.0,5367202506,1,Delridge,47.54103,-122.33766,1929,1.0,3.0,85126,0,85126,Office,Office,81526.0,,,,,,1.0,465.5,467.0,725.5999756,727.2000122,37951708.0,38074932.0,0.0,5454295.0,18610055.0,6851.318359,685132.0,False,,Compliant,,166.13,1.95,False,True,Incohérence énergétique,Écart sources/total > 10%,❌ Suppression,CO₂ mathématiquement corrompu (déconnexion sources/total),False,False,0.9577097479031084,49.16
804,2016,NonResidential,Other,Northgate North,302 NE Northgate Way,Seattle,WA,98125.0,2926049109,5,North,47.70911,-122.32529,2000,1.0,5.0,303255,19820,283435,"Other, Parking, Restaurant, Retail Store",Parking,321828.0,Retail Store,298043.0,Other,5636.0,,,36.5,36.5,111.3000031,111.3000031,11077140.0,11077140.0,0.0,3107313.0,10602152.0,4749.870117,474987.0,False,,Compliant,,99.14,0.33,True,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.061245486471781,0.0
820,2016,SPS-District K-12,K-12 School,Bailey Gatzert Elementary,1301 E. Yesler Way,Seattle,WA,98122.0,0007600137,3,CENTRAL,47.6012,-122.31548,1988,1.0,1.0,52924,0,52924,K-12 School,K-12 School,52924.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573642.5,1957268.0,0.0,0.0,False,,Missing Data,,13.64,0.26,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0,inf
829,2016,NonResidential,Other,Northwest Work Lofts,3131 Western Ave.,Seattle,WA,98121.0,1992200425,7,MAGNOLIA / QUEEN ANNE,47.61915,-122.35871,1928,3.0,4.0,62600,0,62600,Other,Other,215197.0,,,,,,,51.79999924,58.70000076,93.5,100.5999985,11147342.0,12637976.0,0.0,1181456.0,4031128.0,71162.13281,7116213.0,False,,Compliant,,406.04,6.49,True,True,Ratio Usage/Total critique (> 1.30),LargestPropertyUseTypeGFA/PropertyGFATotal > 1.30,❌ Suppression,Erreur physique manifeste,False,False,3.4376517571884984,0.0
848,2016,NonResidential,Retail Store,#4706 Bitterlake,11616 AURORA AVE N,Seattle,WA,98133.0,3026049093,5,NORTHWEST,47.71417,-122.34256,1995,1.0,1.0,101830,0,101830,Retail Store,Retail Store,130767.0,,,,,,60.0,81.90000153,87.69999695,180.8999939,187.0,10713006.0,11474490.0,0.0,1739556.0,5935365.0,47776.39844,4777640.0,False,,Compliant,,295.12,2.9,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.2841696945890209,0.0
850,2016,SPS-District K-12,K-12 School,Leschi Elementary,135 32nd Ave.,Seattle,WA,98122.0,3416600240,3,CENTRAL,47.6021,-122.29181,1988,1.0,3.0,55353,0,55353,K-12 School,K-12 School,55353.0,,,,,2016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420163.0938,1433596.0,0.0,0.0,False,,Missing Data,,9.99,0.18,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0,inf
866,2016,SPS-District K-12,K-12 School,Lafayette Elementary,2645 California Ave. S.W.,Seattle,WA,98116.0,9277200005,1,SOUTHWEST,47.5795,-122.38723,1950,1.0,1.0,61183,0,61183,K-12 School,K-12 School,62975.0,,,,,,92.0,38.5,44.29999924,64.30000305,71.59999847,2424724.25,2789344.0,0.0,211139.0,720406.0,17043.17773,1704318.0,True,,Error - Correct Default Data,,95.54,1.56,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0292891816354217,0.0
19462,2016,SPS-District K-12,K-12 School,Wedgwood Elementary,2720 N.E. 85th St.,Seattle,WA,98115.0,0439000615,5,NORTHEAST,47.69054,-122.29705,1955,1.0,1.0,46732,0,46732,K-12 School,K-12 School,50956.0,,,,,,87.0,45.79999924,51.79999924,79.0,87.30000305,2331952.75,2637723.5,0.0,220895.0938,753694.0,15782.58594,1578259.0,True,,Error - Correct Default Data,,89.08,1.91,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0903877428742617,0.0
19537,2016,SPS-District K-12,K-12 School,Alki Elementary,3010 59th Ave S.W.,Seattle,WA,98116.0,0148000064,1,SOUTHWEST,47.5773,-122.4074,1954,1.0,2.0,51489,0,51489,K-12 School,K-12 School,51489.0,,,,,,93.0,38.5,43.59999847,70.90000153,77.5,1984067.625,2244011.75,0.0,219894.9063,750281.0,12337.8623,1233786.0,True,,Error - Correct Default Data,,70.76,1.37,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0,0.0
19654,2016,NonResidential,Laboratory,1100 Olive Lab,1100 Olive Way,Seattle,WA,98101.0,0660002030,7,DOWNTOWN,47.61597,-122.33086,1946,1.0,2.0,44588,22000,22588,Laboratory,Laboratory,69000.0,,,,,,,105.0999985,105.0999985,330.0,330.0,7251589.0,7251589.0,0.0,2125318.75,7251588.0,0.0,0.0,False,,Compliant,,50.55,1.13,True,True,Ratio Usage/Total critique (> 1.30),LargestPropertyUseTypeGFA/PropertyGFATotal > 1.30,❌ Suppression,Erreur physique manifeste,False,False,1.547501569929129,0.0
19694,2016,SPS-District K-12,K-12 School,Mann Building (Nova High),2410 E. Cherry,Seattle,WA,98122.0,0519000290,3,CENTRAL,47.60842,-122.30093,1925,1.0,2.0,37327,0,37327,K-12 School,K-12 School,48887.0,,,,,,92.0,40.20000076,44.59999847,73.19999695,77.80000305,1967476.375,2179860.5,0.0,212356.4063,724560.0,12429.16309,1242916.0,True,,Error - Correct Default Data,,71.06,1.9,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.3096953947544672,0.0
19697,2016,Nonresidential COS,Other,North Substation,814 NE 75th ST,Seattle,WA,98115.0,0525049003,4,NORTH,47.68339,-122.31947,1923,1.0,2.0,21462,0,21462,"Office, Other",Other,25778.0,Office,200.0,,,,,42.90000153,46.5,134.6999969,146.0,1114384.625,1207838.75,0.0,326607.4063,1114384.0,0.0,0.0,False,,Compliant,,7.77,0.36,True,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.2010996179293636,0.0
19728,2016,SPS-District K-12,K-12 School,Daniel Bagley Elementary,7821 Stone Ave. N.,Seattle,WA,98103.0,0625049048,6,NORTHWEST,47.68636,-122.3423,1930,1.0,2.0,47602,0,47602,K-12 School,K-12 School,46066.0,,,,,,78.0,48.79999924,56.20000076,86.59999847,96.30000305,2249592.5,2589620.0,0.0,227970.7969,777836.0,14717.55859,1471756.0,True,,Error - Correct Default Data,,83.59,1.76,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.9677324482164615,0.0
19776,2016,NonResidential,Other,Welcome Home Society - PriceCo,13537 Aurora Ave N,Seattle,WA,98133.0,0164000020,5,NORTHWEST,47.72777,-122.34503,2002,1.0,1.0,29924,0,29924,Other - Education,Other - Education,29924.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Missing Data,,0.0,0.0,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0,
19855,2016,NonResidential,Small- and Mid-Sized Office,Lowman & Hanford Building,616 First Avenue,Seattle,WA,98104.0,0939000125,7,DOWNTOWN,47.60247,-122.33372,1900,1.0,7.0,23622,0,23622,"Office, Restaurant",Office,26195.0,Restaurant,2285.0,,,,100.0,19.39999962,20.20000076,51.20000076,52.0,552007.5,575362.5,0.0,123050.5,419848.0,1321.589966,132159.0,False,,Compliant,,9.95,0.42,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.1089238845144358,0.0
19860,2016,NonResidential,Small- and Mid-Sized Office,Marion 814,814 2nd Avenue,Seattle,WA,98104.0,0939000300,7,DOWNTOWN,47.60427,-122.33385,1906,1.0,5.0,26840,0,26840,Office,Office,29040.0,,,,,,24.0,68.5,68.80000305,215.1000061,216.0,1989287.0,1997288.75,0.0,583026.625,1989287.0,0.0,0.0,False,,Compliant,,13.87,0.52,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0819672131147542,0.0
19917,2016,Nonresidential COS,Other,Fire Station 02,2334 4th Ave,Seattle,WA,98121.0,0696000160,7,DOWNTOWN,47.61607,-122.34449,1922,1.0,2.0,37740,0,37740,Fire Station,Fire Station,38939.0,,,,,,,79.5,86.19999695,174.6999969,181.6999969,3095882.0,3356598.0,0.0,498054.5,1699362.0,13965.19922,1396520.0,False,,Compliant,,86.02,2.28,True,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.031770005299417,0.0
19927,2016,NonResidential,Hotel,The Loyal Inn,2301 Eighth Avenue,Seattle,WA,98121.0,0697000435,7,DOWNTOWN,47.61822,-122.34132,1967,1.0,4.0,44416,0,44416,Hotel,Hotel,52668.0,,,,,,61.0,50.70000076,52.0,112.5999985,114.8000031,2669564.25,2736926.5,0.0,438318.5938,1495543.0,11740.20996,1174021.0,False,,Compliant,,72.78,1.64,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.1857889048991355,0.0
19967,2016,SPS-District K-12,K-12 School,Queen Anne Gym,1431 2nd Ave N,Seattle,WA,98109.0,0811000005,7,MAGNOLIA / QUEEN ANNE,47.63203,-122.35337,2001,1.0,1.0,35805,0,35805,K-12 School,K-12 School,35805.0,,,,,,100.0,12.10000038,12.10000038,27.0,27.0,431471.6875,431471.6875,0.0,72282.39844,246628.0,1848.439575,184844.0,True,,Error - Correct Default Data,Low outlier,11.54,0.32,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0,0.0
20033,2016,NonResidential,Small- and Mid-Sized Office,Lisa Li Building,4907 25th Ave NE,Seattle,WA,98105.0,0925049118,4,NORTHEAST,47.66461,-122.30142,1989,1.0,2.0,20384,0,20384,Office,Office,25021.0,,,,,,16.0,71.59999847,71.19999695,222.1999969,220.5,1791071.375,1781798.375,0.0,515861.0,1760118.0,309.5351563,30954.0,False,,Compliant,,13.91,0.68,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.227482339089482,0.0
20066,2016,NonResidential,Hotel,University Travelodge,4725 25th AVE NE,Seattle,WA,98105.0,0925049404,4,NORTHEAST,47.66355,-122.30123,1961,2.0,2.0,24100,0,24100,Hotel,Hotel,30910.0,,,,,,91.0,51.40000153,53.09999847,109.1999969,114.5999985,1587454.75,1640279.375,0.0,239738.2031,817987.0,7694.679688,769468.0,False,,Compliant,,46.57,1.93,False,False,Ratio Usage/Total intermédiaire (multi-usages),1.05 < Ratio ≤ 1.30 + NumberofBuildings > 1,✅ Conservation sélective,Dépassement structurel accepté pour bâtiments complexes,False,False,1.282572614107884,0.0
20182,2016,NonResidential,Worship Facility,St. Bridget Church,4900 NE 50th St.,Seattle,WA,98105.0,1025049150,4,NORTHEAST,47.66516,-122.2738,1972,1.0,1.0,26366,0,26366,"Parking, Worship Facility",Worship Facility,26386.0,Parking,0.0,,,,88.0,33.70000076,37.79999924,61.0,65.30000305,888031.875,996850.0,0.0,94900.89844,323802.0,5642.299805,564230.0,False,,Compliant,,32.22,1.22,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0007585526814837,0.0
